Altium Designer Pick and Place Locations
G:\My Drive\Technical\Lattice\Himax IR LED\PWB\Project Outputs for SoM_adapter\Pick Place for UpDuino Camera Adaptor_V2.0_ASCII.csv

========================================================================================================================
File Design Information:

Date:       06/03/20
Time:       17:38
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"TP1","TEST POINT","BottomLayer","TP_SMD_D1","500.000","37.402","180",""
"TP10","TEST POINT","BottomLayer","TP_SMD_D1","773.622","675.197","180",""
"TP9","TEST POINT","BottomLayer","TP_SMD_D1","1112.205","37.402","180",""
"R18","12K","BottomLayer","R0603","1486.220","677.165","360",""
"R17","22R","BottomLayer","R0603","110.236","484.252","90",""
"R16","22R","BottomLayer","R0603","1679.134","466.535","90",""
"C26","4.7uF","BottomLayer","C0603","208.661","110.295","90","CAP CER 4.7UF 6.3V X5R 0603"
"RN1","10K","BottomLayer","RN4(0402)","1297.244","659.449","90","Resistors pack 2010 (0804 imperial) convex"
"C16","0.1uF","BottomLayer","C0603","196.890","481.316","270","CAP CER 0.1UF 6.3V X5R 0603"
"C1","0.1uF","TopLayer","C0603","1027.559","716.545","270","CAP CER 0.1UF 6.3V X5R 0603"
"C2","0.1uF","TopLayer","C0603","1027.559","614.163","90","CAP CER 0.1UF 6.3V X5R 0603"
"C14","0.1uF","BottomLayer","C0603","1598.425","606.289","90","CAP CER 0.1UF 6.3V X5R 0603"
"C15","220pF","BottomLayer","C0603","1779.527","527.569","270",""
"C5","1nF","TopLayer","C0603","894.971","89.011","270","CAP CER 0.1UF 6.3V X5R 0402"
"C6","0.1uF","TopLayer","C0603","838.573","303.150","0","CAP CER 0.1UF 6.3V X5R 0603"
"C7","0.1uF","BottomLayer","C0603","614.163","265.748","360","CAP CER 0.1UF 6.3V X5R 0603"
"C8","0.1uF","BottomLayer","C0603","614.163","685.039","360","CAP CER 0.1UF 6.3V X5R 0402"
"C10","0.1uF","BottomLayer","C0603","401.565","259.842","360","CAP CER 0.1UF 6.3V X5R 0603"
"C11","0.1uF","TopLayer","C0603","866.132","645.669","360","CAP CER 0.1UF 6.3V X5R 0603"
"C12","0.1uF","TopLayer","C0603","726.388","649.606","180","CAP CER 0.1UF 6.3V X5R 0603"
"C13","0.1uF","BottomLayer","C0603","181.112","330.709","180","CAP CER 0.1UF 6.3V X5R 0402"
"C17","220pF","BottomLayer","C0603","196.890","587.431","90",""
"C18","0.1uF","TopLayer","C0603","1137.795","307.077","90","CAP CER 0.1UF 6.3V X5R 0603"
"C19","4.7uF","TopLayer","C0603","981.615","305.344","90","CAP CER 4.7UF 6.3V X5R 0603"
"C20","0.1uF","TopLayer","C0603","214.557","88.455","360","CAP CER 0.1UF 6.3V X5R 0603"
"C21","4.7uF","TopLayer","C0603","274.223","173.526","90","CAP CER 4.7UF 6.3V X5R 0603"
"C22","0.1uF","BottomLayer","C0603","1255.896","486.220","360","CAP CER 0.1UF 6.3V X5R 0603"
"C23","0.1uF","BottomLayer","C0603","1354.341","486.221","180","CAP CER 0.1UF 6.3V X5R 0603"
"MK1","SPH0645LM4H-B","BottomLayer","*MIC_SPH0645LM4H-B","1692.913","589.095","360","Mic Mems Digital I2s Omni -26db"
"R1","12K","TopLayer","R0603","660.650","141.034","180",""
"R2","5.6R","TopLayer","R0603","660.650","89.002","180",""
"R3","12K","TopLayer","R0603","1015.758","66.929","180",""
"R4","0R","BottomLayer","SB_0603","196.850","879.921","180",""
"R7","0R","BottomLayer","SB_0603","196.850","708.661","180",""
"R8","22R","BottomLayer","R0603","1779.528","647.628","90",""
"R9","1K","TopLayer","R0603","1190.945","307.235","90",""
"R10","1K","TopLayer","R0603","1305.118","307.235","90",""
"R11","1K","TopLayer","R0603","1425.197","307.077","90",""
"R12","1K","TopLayer","R0603","1547.244","307.077","90",""
"R13","1K","TopLayer","R0603","1665.354","307.077","90",""
"R14","1K","TopLayer","R0603","1787.401","307.077","90",""
"Z_FDM1","FCM","TopLayer","FID100X250N","65.945","58.661","90",""
"Z_FDM2","FCM","TopLayer","FID100X250N","65.945","872.441","90",""
"Z_FDM3","FCM","TopLayer","FID100X250N","1881.477","83.096","90",""
"Z_FDM4","FCM","BottomLayer","FID100X250N","65.945","872.047","90",""
"DS1","GREEN","TopLayer","LED_0603_12","1245.591","309.685","270","Avago HSMG-C170"
"DS2","GREEN","TopLayer","LED_0603_12","1365.591","309.685","270","Avago HSMG-C170"
"DS3","GREEN","TopLayer","LED_0603_12","1485.591","309.685","270","Avago HSMG-C170"
"DS4","GREEN","TopLayer","LED_0603_12","1605.591","309.685","270","Avago HSMG-C170"
"DS5","GREEN","TopLayer","LED_0603_12","1725.591","309.685","270","Avago HSMG-C170"
"DS6","GREEN","TopLayer","LED_0603_12","1845.591","309.685","270","Avago HSMG-C170"
"R5","0R","BottomLayer","SB_0603","196.850","822.835","180",""
"R6","0R","BottomLayer","SB_0603","196.850","765.748","180",""
"C9","4.7uF","BottomLayer","C0603","278.996","109.103","270","4.7 uF 6.3V X5R"
"Z_FDM5","FCM","BottomLayer","FID100X250N","1906.693","457.087","90",""
"Z_FDM6","FCM","BottomLayer","FID100X250N","65.945","59.055","90",""
"C25","4.7uF","TopLayer","C0603","755.905","797.234","90","CAP CER 4.7UF 6.3V X5R 0603"
"UPDuino1","Headers 2_1x16, 1_1x2","BottomLayer","UPDuino-SMD","1122.441","472.441","360","UPDuino Breakout Headers"
"C3","DNI","TopLayer","C0603","661.408","200.787","360",""
"C4","4.7uF","TopLayer","C0603","661.408","255.906","360","CAP CER 4.7UF 6.3V X5R 0603"
"C24","0.1uF","TopLayer","C0603","912.688","808.503","90","CAP CER 0.1UF 6.3V X5R 0603"
"J2","503772-2420","TopLayer","MOLEX-5037722410_MOLEX","865.090","472.439","90","Header, 12-Pin, Dual row"
"MK2","SPH0645LM4H-B","BottomLayer","*MIC_SPH0645LM4H-B","111.115","589.095","360","Mic Mems Digital I2s Omni -26db"
"D1","VSMY3850","TopLayer","PLCC-2","480.315","106.299","360","EMITTER IR 850NM 70MA 3.20MM SMD"
"D2","VSMY3850","TopLayer","PLCC-2","480.315","838.583","360","EMITTER IR 850NM 70MA 3.20MM SMD"
"Q1","2N7002-G","TopLayer","SOT23-3","1011.811","173.228","360","MOSFET (N-Channel)"
"TP2","TEST POINT","BottomLayer","TP_SMD_D1","51.181","435.039","360",""
"TP3","TEST POINT","BottomLayer","TP_SMD_D1","51.181","350.394","180",""
"TP4","TEST POINT","BottomLayer","TP_SMD_D1","49.213","265.748","180",""
"TP5","TEST POINT","BottomLayer","TP_SMD_D1","51.181","181.102","180",""
"TP6","TEST POINT","BottomLayer","TP_SMD_D1","1035.433","399.606","180",""
"TP7","TEST POINT","BottomLayer","TP_SMD_D1","1222.441","679.134","270",""
"TP8","TEST POINT","BottomLayer","TP_SMD_D1","950.787","675.197","90",""
"U1","SN74AVC2T45DCTR","TopLayer","MSOP-8(2.95x2.80)","1125.984","674.311","360","Integrated Circuit"
"U2","SN74AVC16T245DGG","BottomLayer","TSSOP-48","480.177","476.378","180","Integrated Circuit"
"U3","AL5801W6-7","TopLayer","SOT-23-6-(SSOT-6)","792.019","102.904","270","Integrated Circuit"
"U4","TCR2LE28,LM(CT","TopLayer","SOT-553","1059.055","303.779","90",""
"U5","TCR2LE18,LM(CT","TopLayer","SOT-553","200.787","173.535","360",""
"U6","TCR2LE15,LM(CT","TopLayer","SOT-553","831.870","794.654","90",""
"U7","TC7WPB9307FK,LF","BottomLayer","SSOP8-P-0.50A","1296.063","555.925","360","Dual bidirectional level translator"
"J1","Header 2","TopLayer","HDR1X2","1860.236","646.850","90","Header, 2-Pin"
"R15","0R","BottomLayer","SB_0603","1761.811","438.976","360",""
